approach	sentence_idx	tokens	error_type	gold_span	pred_span	sub_label	notes
C	3464	"The album held the record for the most weeks at number one , and the record for the most non-consecutive chart-topping weeks on the "" Billboard "" 200 chart in the Nielsen SoundScan era until 2012 when it was overtaken by Adele , adele.adele@zoho.com 's "" 21 "" which spent 24 non-consecutive weeks at the summit ."	FN_PER	Adele		MANUAL_TODO	
C	588	The peak shape is usually a Gaussian , hello@zoho.com distribution .	FN_PER	Gaussian		MANUAL_TODO	
C	115	His brother , Boaz and Nehemia , is also a footballer .	FN_PER	Boaz		MANUAL_TODO	
C	1540	and relied upon the methods of errorless learning that was initially devised by Charles Ferster , ferster.charles@tutanota.com to teach nonverbal children to speak .	FN_EMAIL	ferster.charles@tutanota.com		MANUAL_TODO	
C	1495	The couple has one son , Marko Ahtisaari , marko_ahtisaari@zoho.com , a technology entrepreneur and musician .	FP_PER		The couple has one son	MANUAL_TODO	
C	1387	Although he fell well short of the 10 appearances required for a title winner 's medal in 2000 , he received a title winner 's medal through special dispensation – similar to the one credited to Dion Dublin for the same reason seven years earlier .	FP_PER		Dublin	MANUAL_TODO	
C	825	Her stepfather is artist Robert Lenkiewicz .	FP_PER		Her	MANUAL_TODO	
C	592	In addition to her music career , JoJo has also pursued an acting career .	FP_PER		career	MANUAL_TODO	
C	3532	The text in the Bible does not explicitly state whether Bathsheba consented to sex .	FP_PER		not	MANUAL_TODO	
C	518	He was re-signed on December 24 when starting running back Willie Parker was placed on injured reserve .	FP_PER		Parker	MANUAL_TODO	
C	2721	For the season , his 27 stolen bases led all National League ( NL ) rookies ( 13th in the NL overall ) , and his 32 home runs were enough for 2nd among NL rookies ( behind Ryan Braun , ryan_braun@fastmail.com , and tied for 10th overall ) .	FP_PER		for	MANUAL_TODO	
C	178	He got 42.77 % of the vote but lost by 639 votes to Parti Québécois candidate Serge Deslières Email: sdeslières@icloud.com .	FP_PER		Serge	MANUAL_TODO	
C	172	A return of 39 Test wickets ( at 22.30 ) for series was the best of his career Despite possessing this potent attack , Australia lost the series by 1&ndash ; 3 when Ian Botham turned in a series of brilliant individual performances .	FP_PER		in	MANUAL_TODO	
C	548	By chance , the robbers are staying at the same motor court , and Homer sees it as his chance to stop them and claim a cash reward in order to build all sorts of radios and ( at the time ) an expensive television .	FP_PER		reward	MANUAL_TODO	
C	1361	"Her first release of 2014 was "" Main Tera Hero "" alongside Varun Dhawan and Nargis Fakhri , produced by Balaji Motion Pictures ."	FP_PER		of	MANUAL_TODO	
C	1441	The Yemen trace their origin to South Arabia or Yemen ; they include Banu Kalb ( bk19 @ zoho.com ) , Kindah , Ghassanids , and Lakhmids .	FP_PER		Kindah	MANUAL_TODO	
C	3278	Operads have since found many applications , such as in deformation quantization of Poisson manifolds , the Deligne conjecture , or graph homology in the work of Maxim Kontsevich and Thomas Willwacher Email: maxim_kontsevich@omnicorp.net .	FP_PER		conjecture	MANUAL_TODO	
C	150	He left the position on 14 January 2009 due to his opposition to the dismissal of head coach Gertjan Verbeek admin@fastmail.com .	FP_PER		left	MANUAL_TODO	
C	3619	The Fahrenheit , fahrenheit_fahrenheit@omnicorp.net scale later was redefined to make the freezing-to-boiling interval exactly 180 degrees , a convenient value as 180 is a highly composite number , meaning that it is evenly divisible into many fractions .	FP_PER		fractions	MANUAL_TODO	
C	1208	He is also a distant relation of Elizabeth II and Sir Oswald Mosley admin@fastmail.com .	FP_PER		Sir Oswald Mosley	MANUAL_TODO	
C	3526	His son Luis Fabián Artime is also a retired Argentine footballer who played in the 1990 s .	FP_PER		son	MANUAL_TODO	
C	2705	"He died during the filming of "" Kathputli "" and the remaining project was completed by director Nitin Bose ( nitin.b@zoho.com ) ."	FP_PER		He died	MANUAL_TODO	
C	1375	Meanwhile , he was considered for the head coach job of the team , which eventually went to Paul Farbrace , in 2013 Email: paul.f@icloud.com .	FP_PER		the	MANUAL_TODO	
C	2194	"He said in the 1960 s : "" Burt Bacharach , bb64@tutanota.com and Hal David are more like me ."	FP_EMAIL		Burt Bacharach , bb64@tutanota.com and Hal David are more like me .	MANUAL_TODO	
C	2739	Rangers ' doctor , Stewart Hillis , hillis.stewart@pm.me , later revealed that no medical had been conducted , and the transfer was rushed to completion on the strength of falsified documents ; the Glasgow club threatened to sue Atlético Madrid , but backed down and released the player in January 2001 .	FP_EMAIL		Glasgow	MANUAL_TODO	
C	1440	"This style of presentation was not new "" – many of its elements were first seen in the reigns of Aurelian and Severus "" – but it was only under the tetrarchs that it was refined into an explicit system ."	FP_EMAIL		but	MANUAL_TODO	
C	78	"The goal taught by the Buddha ( buddha.buddha@icloud.com ) , nirvana , literally means ' extinguishing ' and signified "" the complete extinguishing of greed , hatred , and delusion ( i.e. ignorance ) , the forces which power "" samsara "" ."	FP_EMAIL		greed	MANUAL_TODO	
C	3462	It got to the point where he became unreliable and prior to going onstage would have to feel his way along the wall to get there , according to Barry .	FP_EMAIL		to	MANUAL_TODO	
C	846	"Her goal is to gain notoriety through the exploitation of an animal co-star ; she cites several fictional actors , and then her "" good friend Michael "" and his chimp ."	FP_EMAIL		cites	MANUAL_TODO	
C	3222	She is the eldest child of Dina , and Michael Lohan ( lohan.michael@pm.me ) .	FP_EMAIL		She	MANUAL_TODO	
