approach	sentence_idx	tokens	error_type	gold_span	pred_span	sub_label	notes
B	3464	"The album held the record for the most weeks at number one , and the record for the most non-consecutive chart-topping weeks on the "" Billboard "" 200 chart in the Nielsen SoundScan era until 2012 when it was overtaken by Adele , adele.adele@zoho.com 's "" 21 "" which spent 24 non-consecutive weeks at the summit ."	FN_PER	Adele		email_disruption	injected email adele.adele@zoho.com immediately follows the name; LLaMA likely merged name into email context
B	588	The peak shape is usually a Gaussian , hello@zoho.com distribution .	FN_PER	Gaussian		concept_eponymous	statistical distribution named after Gauss; used as adjectival concept; injected email adjacent
B	115	His brother , Boaz and Nehemia , is also a footballer .	FN_PER	Boaz		biblical	Hebrew/biblical name; short token with no surrounding PER context to anchor detection
B	1540	and relied upon the methods of errorless learning that was initially devised by Charles Ferster , ferster.charles@tutanota.com to teach nonverbal children to speak .	FN_EMAIL	ferster.charles@tutanota.com		missed_injection	well-formed injected email completely missed by LLaMA zero-shot pipeline
B	1495	The couple has one son , Marko Ahtisaari , marko_ahtisaari@zoho.com , a technology entrepreneur and musician .	FP_PER		The couple has one son	hallucination	LLaMA predicted a full clause as a PER span; JSON-to-IOB2 misalignment artifact
B	1387	Although he fell well short of the 10 appearances required for a title winner 's medal in 2000 , he received a title winner 's medal through special dispensation - similar to the one credited to Dion Dublin for the same reason seven years earlier .	FP_PER		he	pronoun	personal pronoun incorrectly predicted as named entity
B	825	Her stepfather is artist Robert Lenkiewicz .	FP_PER		Robert	partial_span	gold annotates full name Robert Lenkiewicz; model predicted first-name-only partial span
B	592	In addition to her music career , JoJo has also pursued an acting career .	FP_PER		career	non_entity_token	common noun predicted as PER; likely tail of a misaligned LLaMA span
B	3532	The text in the Bible does not explicitly state whether Bathsheba consented to sex .	FP_PER		the	non_entity_token	article predicted as PER; LLaMA JSON span boundary overrun
B	518	He was re-signed on December 24 when starting running back Willie Parker was placed on injured reserve .	FP_PER		He	pronoun	personal pronoun incorrectly predicted as named entity
B	2721	For the season , his 27 stolen bases led all National League ( NL ) rookies ( 13th in the NL overall ) , and his 32 home runs were enough for 2nd among NL rookies ( behind Ryan Braun , ryan_braun@fastmail.com , and tied for 10th overall ) .	FP_PER		for	non_entity_token	preposition predicted as PER; LLaMA span misalignment caused by email injection
B	178	He got 42.77 % of the vote but lost by 639 votes to Parti Québécois candidate Serge Deslières Email: sdeslières@icloud.com .	FP_PER		Deslières	partial_span	gold annotates full name Serge Deslières; model predicted surname-only partial span
B	172	A return of 39 Test wickets ( at 22.30 ) for series was the best of his career Despite possessing this potent attack , Australia lost the series by 1&ndash ; 3 when Ian Botham turned in a series of brilliant individual performances .	FP_PER		by	non_entity_token	preposition predicted as PER; LLaMA hallucinated span in dense cricket statistics context
B	548	By chance , the robbers are staying at the same motor court , and Homer sees it as his chance to stop them and claim a cash reward in order to build all sorts of radios and ( at the time ) an expensive television .	FP_PER		cash	non_entity_token	common noun predicted as PER; no entity context in sentence
B	1361	"Her first release of 2014 was "" Main Tera Hero "" alongside Varun Dhawan and Nargis Fakhri , produced by Balaji Motion Pictures ."	FP_PER		Balaji	org_entity	Balaji Motion Pictures is a film production company (ORG); model predicted first token as PER
B	1441	The Yemen trace their origin to South Arabia or Yemen ; they include Banu Kalb ( bk19 @ zoho.com ) , Kindah , Ghassanids , and Lakhmids .	FP_PER		Ghassanids	org_entity	Ghassanids is an Arab tribal confederation (ORG/GROUP); capitalised plural form triggered PER prediction
B	3278	Operads have since found many applications , such as in deformation quantization of Poisson manifolds , the Deligne conjecture , or graph homology in the work of Maxim Kontsevich and Thomas Willwacher Email: maxim_kontsevich@omnicorp.net .	FP_PER		work	non_entity_token	common noun predicted as PER; LLaMA span misalignment at sentence end with email injection
B	150	He left the position on 14 January 2009 due to his opposition to the dismissal of head coach Gertjan Verbeek admin@fastmail.com .	FP_PER		of	non_entity_token	preposition predicted as PER; LLaMA span misalignment near injected email
B	3619	The Fahrenheit , fahrenheit_fahrenheit@omnicorp.net scale later was redefined to make the freezing-to-boiling interval exactly 180 degrees , a convenient value as 180 is a highly composite number , meaning that it is evenly divisible into many fractions .	FP_PER		a	non_entity_token	article predicted as PER; email injection fahrenheit_fahrenheit@omnicorp.net disrupted span boundary
B	1208	He is also a distant relation of Elizabeth II and Sir Oswald Mosley admin@fastmail.com .	FP_PER		Sir Oswald Mosley	unlabeled_person	Sir Oswald Mosley is a real historical person; gold annotation omits this mention
B	3526	His son Luis Fabián Artime is also a retired Argentine footballer who played in the 1990 s .	FP_PER		His	pronoun	possessive pronoun predicted as named entity
B	2705	"He died during the filming of "" Kathputli "" and the remaining project was completed by director Nitin Bose ( nitin.b@zoho.com ) ."	FP_PER		He died	non_entity_token	pronoun-verb phrase predicted as PER; LLaMA span overrun
B	1375	Meanwhile , he was considered for the head coach job of the team , which eventually went to Paul Farbrace , in 2013 Email: paul.f@icloud.com .	FP_PER		job	non_entity_token	common noun predicted as PER; email injection at sentence end contributed to span misalignment
B	2194	"He said in the 1960 s : "" Burt Bacharach , bb64@tutanota.com and Hal David are more like me ."	FP_EMAIL		Burt Bacharach , bb64@tutanota.com and Hal David are more like me .	over_extended_span	LLaMA included surrounding text in the email span; actual email is only bb64@tutanota.com
